t/h,Elapsed Time (s),Voltage(V)
2.78E-04,1.00E+00,3.49867
5.56E-04,2.00E+00,3.41584
8.33E-04,3.00E+00,3.37163
0.001111111,4.00E+00,3.34149
0.001388889,5.00E+00,3.31871
0.001666667,6.00E+00,3.30023
0.001944444,7.00E+00,3.28539
0.002222222,8.00E+00,3.27267
0.0025,9.00E+00,3.2614
0.002777778,1.00E+01,3.25184
0.003055556,1.10E+01,3.24308
0.003333333,1.20E+01,3.23496
0.003611111,1.30E+01,3.22828
0.003888889,1.40E+01,3.22174
0.004166667,1.50E+01,3.21605
0.004444444,1.60E+01,3.21079
0.004722222,1.70E+01,3.20632
0.005,1.80E+01,3.20172
0.005277778,1.90E+01,3.19814
0.005555556,2.00E+01,3.19465
0.005833333,2.10E+01,3.19109
0.006111111,2.20E+01,3.18782
0.006388889,2.30E+01,3.18386
0.006666667,2.40E+01,3.18081
0.006944444,2.50E+01,3.17803
0.007222222,2.60E+01,3.17489
0.0075,2.70E+01,3.17261
0.007777778,2.80E+01,3.17039
0.008055556,2.90E+01,3.168
0.008333333,3.00E+01,3.16603
0.008611111,3.10E+01,3.1636
0.008888889,3.20E+01,3.16201
0.009166667,3.30E+01,3.15956
0.009444444,3.40E+01,3.15815
0.009722222,3.50E+01,3.1558
0.01,3.60E+01,3.15432
0.010277778,3.70E+01,3.1526
0.010555556,3.80E+01,3.15128
0.010833333,3.90E+01,3.15024
0.011111111,4.00E+01,3.14793
0.011388889,4.10E+01,3.14688
0.011666667,4.20E+01,3.14537
0.011944444,4.30E+01,3.14408
0.012222222,4.40E+01,3.14296
0.0125,4.50E+01,3.14153
0.012777778,4.60E+01,3.14102
0.013055556,4.70E+01,3.13925
0.013333333,4.80E+01,3.13849
0.013611111,4.90E+01,3.13694
0.013888889,5.00E+01,3.13647
0.014166667,5.10E+01,3.13566
0.014444444,5.20E+01,3.13469
0.014722222,5.30E+01,3.13431
0.015,5.40E+01,3.13308
0.015277778,5.50E+01,3.13271
0.015555556,5.60E+01,3.13149
0.015833333,5.70E+01,3.13062
0.016111111,5.80E+01,3.12992
0.016388889,5.90E+01,3.12943
0.016666667,6.00E+01,3.12838
0.016944444,6.10E+01,3.12798
0.017222222,6.20E+01,3.12731
0.0175,6.30E+01,3.12637
0.017777778,6.40E+01,3.12594
0.018055556,6.50E+01,3.12516
0.018333333,6.60E+01,3.12505
0.018611111,6.70E+01,3.12416
0.018888889,6.80E+01,3.12332
0.019166667,6.90E+01,3.1229
0.019444444,7.00E+01,3.12245
0.019722222,7.10E+01,3.12128
0.02,7.20E+01,3.12113
0.020277778,7.30E+01,3.12113
0.020555556,7.40E+01,3.12045
0.020833333,7.50E+01,3.12003
0.021111111,7.60E+01,3.11952
0.021388889,7.70E+01,3.11869
0.021666667,7.80E+01,3.11835
0.021944444,7.90E+01,3.11786
0.022222222,8.00E+01,3.11719
0.0225,8.10E+01,3.1172
0.022777778,8.20E+01,3.11592
0.023055556,8.30E+01,3.11579
0.023333333,8.40E+01,3.11492
0.023611111,8.50E+01,3.11477
0.023888889,8.60E+01,3.11385
0.024166667,8.70E+01,3.11331
0.024444444,8.80E+01,3.11298
0.024722222,8.90E+01,3.11248
0.025,9.00E+01,3.11277
0.025277778,9.10E+01,3.11131
0.025555556,9.20E+01,3.11135
0.025833333,9.30E+01,3.11104
0.026111111,9.40E+01,3.11044
0.026388889,9.50E+01,3.11017
0.026666667,9.60E+01,3.10941
0.026944444,9.70E+01,3.10929
0.027222222,9.80E+01,3.10858
0.0275,9.90E+01,3.10858
0.027777778,1.00E+02,3.10772
0.028055556,1.01E+02,3.10796
0.028333333,1.02E+02,3.10685
0.028611111,1.03E+02,3.10656
0.028888889,1.04E+02,3.10644
0.029166667,1.05E+02,3.10548
0.029444444,1.06E+02,3.10549
0.029722222,1.07E+02,3.10511
0.03,1.08E+02,3.10491
0.030277778,1.09E+02,3.1045
0.030555556,1.10E+02,3.10414
0.030833333,1.11E+02,3.10393
0.031111111,1.12E+02,3.10338
0.031388889,1.13E+02,3.10336
0.031666667,1.14E+02,3.10255
0.031944444,1.15E+02,3.10292
0.032222222,1.16E+02,3.10196
0.0325,1.17E+02,3.10174
0.032777778,1.18E+02,3.10177
0.033055556,1.19E+02,3.1012
0.033333333,1.20E+02,3.10154
0.033611111,1.21E+02,3.10255
0.033888889,1.22E+02,3.10222
0.034166667,1.23E+02,3.10195
0.034444444,1.24E+02,3.10178
0.034722222,1.25E+02,3.10111
0.035,1.26E+02,3.10104
0.035277778,1.27E+02,3.10089
0.035555556,1.28E+02,3.10043
0.035833333,1.29E+02,3.1009
0.036111111,1.30E+02,3.09988
0.036388889,1.31E+02,3.10026
0.036666667,1.32E+02,3.09961
0.036944444,1.33E+02,3.0995
0.037222222,1.34E+02,3.09919
0.0375,1.35E+02,3.09894
0.037777778,1.36E+02,3.09876
0.038055556,1.37E+02,3.09858
0.038333333,1.38E+02,3.09905
0.038611111,1.39E+02,3.09842
0.038888889,1.40E+02,3.09904
0.039166667,1.41E+02,3.0984
0.039444444,1.42E+02,3.09856
0.039722222,1.43E+02,3.0983
0.04,1.44E+02,3.09832
0.040277778,1.45E+02,3.09788
0.040555556,1.46E+02,3.09739
0.040833333,1.47E+02,3.09758
0.041111111,1.48E+02,3.09716
0.041388889,1.49E+02,3.09748
0.041666667,1.50E+02,3.0968
0.041944444,1.51E+02,3.09714
0.042222222,1.52E+02,3.09683
0.0425,1.53E+02,3.09632
0.042777778,1.54E+02,3.09629
0.043055556,1.55E+02,3.09633
0.043333333,1.56E+02,3.09586
0.043611111,1.57E+02,3.09594
0.043888889,1.58E+02,3.09567
0.044166667,1.59E+02,3.09552
0.044444444,1.60E+02,3.09579
0.044722222,1.61E+02,3.09503
0.045,1.62E+02,3.09524
0.045277778,1.63E+02,3.09465
0.045555556,1.64E+02,3.09509
0.045833333,1.65E+02,3.09426
0.046111111,1.66E+02,3.09485
0.046388889,1.67E+02,3.09402
0.046666667,1.68E+02,3.09398
0.046944444,1.69E+02,3.094
0.047222222,1.70E+02,3.09364
0.0475,1.71E+02,3.09376
0.047777778,1.72E+02,3.09338
0.048055556,1.73E+02,3.0934
0.048333333,1.74E+02,3.09304
0.048611111,1.75E+02,3.09352
0.048888889,1.76E+02,3.09288
0.049166667,1.77E+02,3.09373
0.049444444,1.78E+02,3.09362
0.049722222,1.79E+02,3.09337
0.05,1.80E+02,3.09341
0.050277778,1.81E+02,3.09301
0.050555556,1.82E+02,3.09348
0.050833333,1.83E+02,3.09286
0.051111111,1.84E+02,3.09287
0.051388889,1.85E+02,3.09253
0.051666667,1.86E+02,3.0924
0.051944444,1.87E+02,3.09231
0.052222222,1.88E+02,3.09203
0.0525,1.89E+02,3.09259
0.052777778,1.90E+02,3.09172
0.053055556,1.91E+02,3.09193
0.053333333,1.92E+02,3.09179
0.053611111,1.93E+02,3.09146
0.053888889,1.94E+02,3.09201
0.054166667,1.95E+02,3.09111
0.054444444,1.96E+02,3.09147
0.054722222,1.97E+02,3.09093
0.055,1.98E+02,3.09085
0.055277778,1.99E+02,3.09077
0.055555556,2.00E+02,3.09052
0.055833333,2.01E+02,3.09043
0.056111111,2.02E+02,3.09055
0.056388889,2.03E+02,3.09058
0.056666667,2.04E+02,3.08998
0.056944444,2.05E+02,3.08974
0.057222222,2.06E+02,3.08982
