Elapsed Time (s),Voltage(V)
0,1.79822
1,1.79331
2,1.76602
3,1.74393
4,1.72461
5,1.70651
6,1.68903
7,1.67278
8,1.65713
9,1.64119
10,1.62585
11,1.61174
12,1.59763
13,1.58353
14,1.56972
15,1.55654
16,1.54335
17,1.52985
18,1.51728
19,1.5044
20,1.49213
21,1.47955
22,1.46759
23,1.45532
24,1.44336
25,1.4314
26,1.41974
27,1.40748
28,1.39643
29,1.38478
30,1.37343
31,1.36208
32,1.35074
33,1.33939
34,1.32835
35,1.31792
36,1.30718
37,1.29522
38,1.2851
39,1.27437
40,1.26363
41,1.2529
42,1.24185
43,1.23143
44,1.22131
45,1.21057
46,1.20014
47,1.19033
48,1.17959
49,1.16917
50,1.15904
51,1.14923
52,1.1388
53,1.12899
54,1.11917
55,1.10874
56,1.09862
57,1.08911
58,1.07869
59,1.06887
60,1.05906
61,1.04924
62,1.04004
63,1.03053
64,1.02011
65,1.01029
66,1.00078
67,0.99127
68,0.98177
69,0.97257
70,0.96244
71,0.95263
72,0.94404
73,0.93392
74,0.92441
75,0.91521
76,0.90601
77,0.8962
78,0.88699
79,0.87779
80,0.86829
81,0.85908
82,0.84988
83,0.84099
84,0.83148
85,0.82228
86,0.81339
87,0.80449
88,0.79529
89,0.78609
90,0.77719
91,0.7683
92,0.7591
93,0.75051
94,0.7407
95,0.73241
96,0.72352
97,0.71463
98,0.70604
99,0.69714
100,0.68825
101,0.67966
102,0.67046
103,0.66279
104,0.65328
105,0.645
106,0.63672
107,0.62844
108,0.61985
109,0.61035
110,0.60329
111,0.5944
112,0.5855
113,0.57783
114,0.56925
115,0.56127
116,0.55361
117,0.5444
118,0.53674
119,0.52846
120,0.52048
121,0.51251
122,0.50423
123,0.49625
124,0.48858
125,0.48092
126,0.47233
127,0.46466
128,0.45669
129,0.44932
130,0.44166
131,0.43399
132,0.42632
133,0.41865
134,0.41099
135,0.40363
136,0.39657
137,0.3889
138,0.38185
139,0.37388
140,0.36651
141,0.35885
142,0.3521
143,0.34474
144,0.33738
145,0.33032
146,0.32327
147,0.31652
148,0.30885
149,0.30211
150,0.29536
151,0.28861
152,0.28125
153,0.2745
154,0.26745
155,0.26101
156,0.25426
157,0.24721
158,0.24046
159,0.23371
160,0.22696
161,0.22052
162,0.21408
163,0.20733
164,0.20059
165,0.19415
166,0.18709
167,0.18096
168,0.17452
169,0.16808
170,0.16194
171,0.15489
172,0.14937
173,0.14201
174,0.13618
175,0.13066
176,0.12422
177,0.11778
178,0.11195
179,0.10581
180,0.09999
181,0.09385
182,0.08802
183,0.08189
184,0.07576
185,0.07024
186,0.06472
187,0.05889
188,0.05398
189,0.04785
190,0.04263
191,0.03772
192,0.0322
193,0.02699
194,0.02178
195,0.01687
196,0.01165
197,0.00675
198,0.00215
