Elapsed Time (s),Voltage(V),Voltage_noise_1mV(V),Voltage_noise_5mV(V),Voltage_noise_50mV(V)
0,1,1.00012573,1.006464465,1.059195096
0.200400802,0.997995992,0.997863887,1.000264348,1.013187334
0.400801603,0.995991984,0.996632407,0.987541184,1.005594701
0.601202405,0.993987976,0.994092876,0.990347001,1.007285148
0.801603206,0.991983968,0.991448299,0.998145485,0.923676074
1.002004008,0.98997996,0.990341555,0.991471636,0.970502286
1.20240481,0.987975952,0.989279952,0.987926657,0.940153669
1.402805611,0.985971944,0.986919025,0.988177947,0.995842627
1.603206413,0.983967936,0.983264201,0.987573181,0.956768029
1.803607214,0.981963928,0.980698506,0.978421602,0.979760972
2.004008016,0.97995992,0.979336645,0.978507919,0.976095292
2.204408818,0.977955912,0.977997238,0.97867048,0.976137393
2.404809619,0.975951904,0.973626873,0.973232115,0.974214548
2.605210421,0.973947896,0.973729104,0.973280638,0.94132899
2.805611222,0.971943888,0.970697977,0.978433247,0.919243748
3.006012024,0.96993988,0.969207612,0.96510078,0.936722064
3.206412826,0.967935872,0.967391613,0.977569185,1.021512789
3.406813627,0.965931864,0.965615564,0.975328586,0.984639954
3.607214429,0.963927856,0.964339486,0.955360659,0.993275624
3.80761523,0.961923848,0.962966361,0.961218734,1.030922244
4.008016032,0.95991984,0.959791305,0.961633298,0.900948293
4.208416834,0.957915832,0.959282295,0.954111476,0.983413453
4.408817635,0.955911824,0.955246629,0.952206421,0.902158118
4.609218437,0.953907816,0.954259326,0.952720737,0.937191186
4.809619238,0.951903808,0.952807278,0.955599698,0.9761158
5.01002004,0.9498998,0.949993812,0.94734313,1.030617063
5.210420842,0.947895792,0.947152292,0.957029261,0.908787544
5.410821643,0.945891784,0.944970058,0.947341654,0.941151971
5.611222445,0.943887776,0.94343005,0.943374899,1.001699616
5.811623246,0.941883768,0.942103963,0.949130066,0.867393362
6.012024048,0.93987976,0.938870141,0.943011165,0.957985405
6.21242485,0.937875752,0.937666576,0.939722185,0.922461844
6.412825651,0.935871743,0.935712518,0.934216042,0.891786995
6.613226453,0.933867735,0.934408581,0.942937664,0.941199277
6.813627255,0.931863727,0.932078387,0.935922835,0.961610021
7.014028056,0.929859719,0.930215092,0.928842663,0.884254731
7.214428858,0.927855711,0.927201883,0.919969716,0.946855201
